,coeff_Ch5,coeff_Ch6,coeff_gACH,coeff_gDA
photometrySideInIndexAA_-09,-1.079633873419549,0.7365603200739027,-0.07161914595525835,0.8312862435729715
photometrySideInIndexAA_-08,-1.3346953412168865,0.6958457282939191,-0.35961692193806966,0.5797116594552768
photometrySideInIndexAA_-07,-1.423796203248145,0.6796581307756975,-0.5698306325553424,0.43496993832594943
photometrySideInIndexAA_-06,-1.415472554182658,0.6609393992031906,-0.6462771430212795,0.40785846770010753
photometrySideInIndexAA_-05,-1.3141530215202522,0.7129267328754209,-0.5537620590252335,0.454564234518056
photometrySideInIndexAA_-04,-1.1585984701589804,0.7985059851093821,-0.32940047452058896,0.5316908351071452
photometrySideInIndexAA_-03,-0.9922370565168742,0.8354343043708261,-0.033908823485952096,0.5205024477271448
photometrySideInIndexAA_-02,-0.7664322716692407,0.7435634055691422,0.1079809432662242,0.23099082418062064
photometrySideInIndexAA_-01,-0.33325392341828636,0.443805902596856,0.12310439883891709,-0.2784098783451354
photometrySideInIndexAA_000,0.09798047202871787,0.10202804671314698,0.24845118079114464,-0.7717891572599459
photometrySideInIndexAA_001,0.23393442088341668,-0.2320461645817034,0.2764393441343848,-1.1713917965420082
photometrySideInIndexAA_002,0.563310148602406,-0.36485467067646643,0.6847173305548384,-1.2455830869972349
photometrySideInIndexAA_003,-0.07387825864652882,0.16990427179233972,1.0375966638023786,-0.09400175695526167
photometrySideInIndexAA_004,-0.5758414336286158,0.9032810936793805,1.3347664460006705,1.4730204235239686
photometrySideInIndexAA_005,-0.7397153759921726,1.1911048104194888,1.140597158328955,2.119474363717784
photometrySideInIndexAA_006,-0.7044784096703524,1.1480376406891475,0.7981368369623106,1.843925545495581
photometrySideInIndexAA_007,-0.5602967465684283,1.0009669615426304,0.6454677082858201,1.294885508128857
photometrySideInIndexAA_008,-0.37073110236603435,0.8371523161770054,0.566235226065424,0.8378202489207678
photometrySideInIndexAA_009,-0.23343046240609458,0.7627204450734724,0.5240695881392722,0.608031164338477
photometrySideInIndexAA_010,-0.24725628698247323,0.6707349942293602,0.3894404740578062,0.5167857168288249
photometrySideInIndexAA_011,-0.3238058093674811,0.557271945611221,0.1817514707296929,0.392729564307078
photometrySideInIndexAA_012,-0.3530033882683479,0.40152125715637893,0.01967170023127468,0.25733087639678703
photometrySideInIndexAA_013,-0.3126559376172445,0.27379922212801405,-0.01823739032253628,0.1373402866709126
photometrySideInIndexAA_014,-0.19052837811581264,0.20097259694361447,-0.023469541164521837,0.028822594824288505
photometrySideInIndexAA_015,-0.04736915048629093,0.11660722463532613,0.025063445986504906,-0.06404880849712169
photometrySideInIndexAA_016,0.08261010756978007,0.05857839291343682,0.038059382928370605,-0.09445403705703406
photometrySideInIndexAA_017,0.16246269263005603,0.009636536039329848,0.030301089452704773,-0.11195471081948662
photometrySideInIndexAA_018,0.18746616915705186,-0.012867765773555931,0.030492561220236244,-0.10994496932358683
